cod_colaborador,primeiro_nome,ultimo_nome,email,cpf,data_nascimento,endereco,cep
99,Fernando,Costela,osilveira@example.net,492.758.103-97,24/11/1963,"Praça de Duarte, 5 Santa Rosa 84418424 Cardoso de Carvalho / RO",15164977
23,Elisa,Fogaça,qjesus@example.net,579.816.234-64,16/08/1988,"Campo João Barros, 99 Providencia 47135-118 Melo de Lima / ES",12605284
96,Gustavo,Martins,emilly44@example.com,790.245.683-74,02/09/1995,"Largo de das Neves, 1 Nova Esperança 60391950 Monteiro de da Rocha / CE",97215561
11,Camila,Moreira,enzo-gabrielduarte@example.com,263.589.174-55,30/03/1970,"Lago Evelyn Teixeira, 7 Pantanal 68026-096 Carvalho / SP",92857-785
7,Letícia,Peixoto,igornovaes@example.net,396.071.582-02,10/09/1994,"Ladeira da Costa, 86 Conjunto Bonsucesso 59864-562 Porto de Barros / ES",92465328
9,Diego,Peixoto,valentinada-rocha@example.net,367.528.901-02,01/04/1969,"Sítio Maria Eduarda Pires, 8 Antonio Ribeiro De Abreu 1ª Sessão 50991-334 Nogueira da Prata / BA",77896-815
40,Bryan,Peixoto,kgomes@example.com,047.931.256-70,22/08/1975,"Rodovia Leonardo da Cunha, 135 Ventosa 29667758 Moreira do Norte / AP",79262-228
52,Theo,Peixoto,ncosta@example.net,578.310.962-21,10/10/1991,"Fazenda Peixoto, 68 Marieta 3ª Sessão 99059-719 Porto / SE",47431-701
2,Clarice,Ribeiro,noahcastro@example.org,091.367.842-22,10/11/1993,"Recanto Nogueira, 3 Xangri-Lá 38163250 Vieira de Mendes / RN",05165-716
5,Emanuella,Ribeiro,paulo12@example.org,714.695.380-75,01/06/1974,"Parque Lima, 3 Europa 70881-379 Cunha / RS",22588-498
1,Lorena,da Mata,luiz-felipefarias@example.org,843.201.579-23,31/01/1996,"Vereda da Rocha, 240 Vila Aeroporto 10668-659 Caldeira / MT",69097997
79,Pietro,da Mata,luiza18@example.net,241.395.068-06,24/04/1973,Passarela de Peixoto Distrito Industrial Do Jatoba 34288-743 da Mata Paulista / AM,4555518
48,Pietra,da Mota,ianviana@example.net,452.389.017-04,16/11/1978,Trevo Bruno Azevedo Engenho Nogueira 17313-814 Porto de Goiás / RN,71636-333
55,Ana Sophia,da Mota,pedro-henrique85@example.com,205.719.486-85,16/05/1997,"Conjunto de Nascimento, 138 Marçola 26018227 Viana / RO",79292091
77,Sophie,da Mota,livia08@example.net,672.598.143-73,13/04/1997,"Condomínio Isabelly Cunha, 30 Prado 78943472 Rezende / PR",53778703
8,Vitor Gabriel,Caldeira,csilva@example.net,853.624.091-15,11/07/1973,"Jardim da Luz, 96 Rio Branco 42420423 da Mata / MT",66925-534
49,Pietra,Caldeira,gustavo-henriquecastro@example.com,725.083.916-03,06/08/1977,"Travessa Laura Monteiro, 7 Grota 92672446 Porto / AL",36084-897
61,Davi Lucca,Carvalho,vcavalcanti@example.net,526.984.013-89,27/04/1963,Recanto Nina da Costa Vila Santa Monica 1ª Sessão 23645052 Castro de Fernandes / MA,3745319
58,Ana Julia,Ferreira,lorena19@example.com,945.218.603-89,22/02/1994,"Vale Rezende, 4 São Geraldo 84460438 da Conceissão de Sales / TO",33395-564
75,Maria Fernanda,Ferreira,vitor-hugoribeiro@example.net,283.076.541-90,13/07/1978,"Ladeira de Nascimento, 359 Salgado Filho 60868-929 da Rosa / CE",01114-589
78,João Felipe,Ferreira,fernando53@example.org,369.428.710-87,12/09/1976,"Favela Barros, 28 Nazare 98329-395 Caldeira do Norte / GO",83982-409
51,Pedro Lucas,Silveira,kda-cunha@example.com,823.456.790-00,24/12/1970,"Trecho de Duarte, 903 Leticia 22951015 Nascimento / RR",87312248
93,Yuri,Silveira,barbarapereira@example.net,395.814.270-23,09/09/1980,"Campo de Silveira, 36 Bernadete 75409639 Barbosa / RN",48093646
87,Luna,Teixeira,samuel34@example.org,403.762.985-29,06/04/1998,"Viaduto Cunha, 3 Minas Brasil 94652281 Nascimento do Oeste / SC",53544065
73,Lucas Gabriel,da Costa,sophie99@example.net,749.536.012-70,08/03/1977,"Conjunto Melo, 64 Vila Nova Gameleira 3ª Sessão 99419458 Duarte Alegre / AC",80265890
34,Daniela,Fernandes,rezendemarcela@example.org,627.401.395-43,22/07/1996,"Feira de Melo, 95 Bom Jesus 02499-885 Jesus / PE",73390-636
59,Eloah,Fernandes,ida-costa@example.org,486.321.970-96,10/09/1987,Recanto Duarte Vila Mangueiras 08038-110 Araújo / RO,73404-769
60,Sabrina,Fernandes,pedro82@example.net,643.508.219-70,18/09/1993,"Conjunto Sofia Azevedo, 44 Ipe 31209677 Costela de Araújo / MA",24300799
15,Joana,Rodrigues,erodrigues@example.net,480.756.921-01,21/05/1968,"Esplanada de Almeida, 720 Manacas 89334474 Cardoso de Cunha / MT",92472266
66,Lívia,Rodrigues,estherdias@example.com,953.124.067-16,27/02/1992,"Praça Novaes, 93 Sion 55659988 Souza dos Dourados / SP",73034259
12,Ana Lívia,das Neves,milena37@example.net,182.045.369-33,23/09/1986,"Vale Marcos Vinicius Duarte, 302 Vila Paris 03560827 Moura / PR",12951-292
70,Paulo,Cavalcanti,silveiraalicia@example.net,805.124.379-04,18/08/1966,"Rodovia Igor Moura, 41 Atila De Paiva 22036-616 Pereira / SC",79567620
95,Juliana,Cavalcanti,gomesmanuela@example.org,309.764.251-06,18/05/1982,Trevo de Duarte Nossa Senhora Do Rosário 41440886 Rezende / MS,52427-851
94,Melissa,Gonçalves,caldeirasamuel@example.com,825.670.139-03,09/01/1971,"Largo de Pinto, 96 Vila Independencia 2ª Sessão 38053880 da Mota do Amparo / TO",66939-843
28,Alexandre,Nascimento,olivia97@example.org,719.360.824-03,12/01/1992,"Aeroporto Maria Cecília Rocha, 39 Serra Do Curral 08025-854 Cardoso da Praia / MA",42178150
80,Clarice,Nascimento,lorena74@example.org,956.104.283-51,01/12/1995,"Rua de da Mota, 7 Vila Mantiqueira 17429735 Jesus / SC",40016475
27,Marcela,da Conceissão,mcosta@example.com,139.467.025-70,14/05/1963,"Avenida de Campos, 513 Tres Marias 67624232 Correia / AM",66423556
35,Ryan,da Conceissão,giovannacavalcanti@example.net,342.506.918-70,03/11/1989,"Estassão de Rezende, 33 Vila Betânia 65202-821 Silva / PI",59741896
