cod_cliente,nome_completo,email,tipo_cliente,data_inclusao,cpfcnpj,endereco,cep,uf,tempo_como_cliente,idade
70,Enrico Melo,pedro-henriqueviana@example.org,Pessoa Física,2021-02-18 15:23:00,418.962.035-15,"Esplanada Rezende, 82 Vila Minaslandia 86011416 Fernandes / SC",37988-526,Santa Catarina,51.1,36.0
226,Isabella Melo,vramos@example.com,Pessoa Física,2017-01-14 11:27:00,716.452.809-85,"Viela Theo Ramos, 14 Paquetá 59350-231 Pereira da Serra / SC",16954952,Santa Catarina,100.96666666666667,73.0
239,Bernardo Melo,maria-alice61@example.net,Pessoa Física,2017-02-25 16:31:00,327.459.861-55,"Fazenda Gomes, 81 Cidade Jardim Taquaril 81318-214 da Rocha do Galho / PE",51092202,Pernambuco,99.56666666666666,
265,Heitor Melo,vitor-gabrielmonteiro@example.com,Pessoa Física,2019-06-05 11:17:00,598.067.321-03,"Vila Gonçalves, 11 Pousada Santo Antonio 46466-651 Ferreira / GO",96975888,Goiás,71.9,
366,Pedro Melo,arthurvieira@example.com,Pessoa Física,2014-06-06 15:19:00,809.461.527-30,"Lago de Barros, 8 Sport Club 21887406 Monteiro das Flores / GO",73739-486,Goiás,132.73333333333332,
467,Gustavo Henrique Melo,da-cunhabrenda@example.com,Pessoa Física,2018-02-26 12:52:00,532.709.841-97,"Colônia de Ribeiro, 720 Ademar Maldonado 84104-262 Pereira / ES",50832-820,Espírito Santo,87.36666666666666,25.0
602,Thomas Melo,mda-rocha@example.net,Pessoa Física,2018-10-24 13:07:00,549.671.082-02,"Vila de Pereira, 48 Mantiqueira 16617426 Cardoso / BA",77360-182,Bahia,79.36666666666666,
691,Raquel Melo,thiago84@example.net,Pessoa Física,2020-07-15 16:46:00,874.351.602-53,Sítio Enzo Fernandes Madre Gertrudes 07858527 da Cruz Verde / AP,51214338,Amapá,58.36666666666667,
783,Nicole Melo,ericknogueira@example.com,Pessoa Física,2015-09-21 11:35:00,602.143.987-22,"Sítio Teixeira, 99 Conjunto Jatoba 48852-845 Correia de Goiás / PI",49990438,Piauí,117.0,
786,Luna Melo,oliveiradavi@example.net,Pessoa Física,2019-01-21 14:29:00,125.386.974-09,"Morro Kaique Fogaça, 5 Barão Homem De Melo 2ª Seção 99410668 Fernandes / RN",84504002,Rio Grande do Norte,76.4,
792,Levi Melo,da-cunhajoao-guilherme@example.net,Pessoa Física,2018-12-08 12:54:00,061.947.285-58,"Vereda Vieira, 835 Baleia 98810617 Oliveira da Prata / BA",63158375,Bahia,77.86666666666666,47.0
811,Yuri Melo,mouralivia@example.com,Pessoa Física,2018-08-06 11:04:00,943.162.708-69,"Estrada Nicole Moraes, 36 Vila Petropolis 83982453 Alves / TO",69025958,Tocantins,82.0,
834,Luna Melo,caldeiranicolas@example.com,Pessoa Física,2015-03-25 14:02:00,416.287.395-09,"Vila Fernandes, 242 Vila Satélite 62724113 Fernandes da Mata / RJ",05254-597,Rio de Janeiro,123.0,
911,Daniel Melo,nicole57@example.com,Pessoa Física,2011-09-22 12:17:00,576.184.902-01,"Vale Antônio Lima, 4 São João 47295-375 Nunes / PA",4065275,Pará,165.66666666666666,
924,Melissa Melo,samuelmonteiro@example.com,Pessoa Física,2021-10-20 15:55:00,412.307.695-52,Trecho Daniel Freitas Vila Dos Anjos 03780697 Nascimento / PB,47546-871,Paraíba,42.96666666666667,36.0
993,Beatriz Melo,brendacaldeira@example.org,Pessoa Física,2017-10-07 11:40:00,786.914.320-04,"Parque Rodrigues, 104 Nova America 72291173 Peixoto / TO",88422-547,Tocantins,92.1,
56,Maria Luiza Alves,souzasophie@example.org,Pessoa Física,2022-09-21 14:40:00,428.691.053-98,"Loteamento Campos, 6 Dona Clara 75778-811 Pires das Flores / SP",87868-132,São Paulo,31.766666666666666,32.0
71,Luiza Alves,sdias@example.com,Pessoa Física,2013-12-14 13:59:00,578.962.410-30,"Via Augusto Moura, 59 Vila Independencia 2ª Seção 01782369 Vieira Grande / AL",67750-393,Alagoas,138.53333333333333,
92,Daniel Alves,carvalhofernando@example.com,Pessoa Física,2017-02-03 15:31:00,923.540.671-43,"Alameda Maria Clara Lopes, 48 Alto Barroca 93067-803 Ramos da Serra / RJ",30314554,Rio de Janeiro,100.3,
116,Isaac Alves,fmoraes@example.com,Pessoa Física,2014-10-17 13:19:00,783.290.516-68,"Setor Silveira, 9 Esperança 54390-541 Cavalcanti / PB",75462082,Paraíba,128.3,72.0
289,Maria Alice Alves,renanmoura@example.net,Pessoa Física,2022-12-11 14:34:00,826.703.591-59,Lago da Cunha São Francisco Das Chagas 39623597 da Cunha / MS,11965-789,Mato Grosso do Sul,29.066666666666666,
364,Miguel Alves,bcarvalho@example.net,Pessoa Física,2013-09-07 14:06:00,806.751.439-93,"Favela Mendes, 15 Cônego Pinheiro 1ª Seção 48858415 Ramos / PI",14157-016,Piauí,141.8,
381,Melissa Alves,oliveiracecilia@example.net,Pessoa Física,2016-10-21 15:50:00,753.481.029-97,"Parque Lucca Farias, 16 Vila Madre Gertrudes 3ª Seção 09192-662 da Rosa de da Cruz / RO",26941177,Rondônia,103.8,53.0
421,Mirella Alves,luna28@example.com,Pessoa Física,2020-04-24 10:07:00,903.648.527-47,"Loteamento Rodrigues, 869 Palmares 97692-838 da Cunha / AM",88078064,Amazonas,61.1,54.0
664,Clara Alves,oliviasantos@example.org,Pessoa Física,2017-11-12 15:21:00,421.603.795-06,"Distrito Ferreira, 19 São Luiz 77702611 Nascimento do Norte / RS",2434042,Rio Grande do Sul,90.9,49.0
788,Lavínia Alves,diogoramos@example.org,Pessoa Física,2021-06-11 11:11:00,742.059.863-00,"Condomínio de Duarte, 4 Alta Tensão 2Âª SeÃ§ão 90644-133 Pereira / PA",25512578,Pará,47.333333333333336,71.0
829,Sarah Alves,rauldas-neves@example.com,Pessoa Física,2020-04-16 10:33:00,274.803.516-07,"Distrito de da Mota, 41 Aeroporto 74948002 da Cunha / PI",98200059,Piauí,61.36666666666667,78.0
847,Thiago Alves,bda-rocha@example.com,Pessoa Física,2017-10-23 12:25:00,539.186.704-57,"Viaduto Laura Pinto, 5 Vila Santa Monica 1ª Seção 93180-322 da Rosa / SP",31500163,São Paulo,91.56666666666666,
852,Isabelly Alves,joao-lucas08@example.com,Pessoa Física,2015-07-01 16:05:00,416.739.085-00,"Trecho de Barbosa, 9 Lagoinha Leblon 56609-518 Ferreira / ES",18876-575,Espírito Santo,119.73333333333333,
991,Luiz Miguel Alves,luana66@example.com,Pessoa Física,2019-02-14 13:36:00,587.609.124-30,"Chácara de Moreira, 60 Olaria 22714-326 Ribeiro da Mata / AM",86294-895,Amazonas,75.6,
90,João Costa,nina62@example.com,Pessoa Física,2014-05-15 13:06:00,926.057.138-30,"Feira de Teixeira, 4 Laranjeiras 89122-999 Pires / SP",38071-009,São Paulo,133.46666666666667,
233,Catarina Costa,joao-felipecorreia@example.org,Pessoa Física,2014-12-02 14:14:00,603.751.829-77,"Passarela de da Conceição, 2 Centro 93490-179 Moraes de Oliveira / AL",38180255,Alagoas,126.76666666666667,64.0
356,Cecília Costa,emilly14@example.org,Pessoa Física,2014-01-13 11:30:00,092.813.567-59,Lago de Jesus Esperança 91251916 da Cruz / SP,89813224,São Paulo,137.53333333333333,
493,Laís Costa,silveiralavinia@example.com,Pessoa Física,2017-12-19 16:53:00,867.402.159-01,Parque Moura Parque São José 91515-389 Nascimento / MG,98259-386,Minas Gerais,89.66666666666667,32.0
676,Maria Vitória Costa,rochanina@example.org,Pessoa Física,2016-04-25 15:44:00,182.954.037-88,"Jardim da Rocha, 65 Minaslandia 48773387 Araújo / BA",67484257,Bahia,109.76666666666667,69.0
890,Maysa Costa,ida-rosa@example.org,Pessoa Física,2013-12-11 14:23:00,286.903.175-03,"Colônia Ferreira, 1 Suzana 76789911 Gomes da Praia / MT",07873-123,Mato Grosso,138.63333333333333,
957,Beatriz Costa,nascimentobruno@example.org,Pessoa Física,2020-08-10 15:07:00,627.983.405-00,"Travessa de Sales, 37 Jardim América 26138-341 da Luz / PA",56424-819,Pará,57.5,
38,Augusto Cunha,cda-cunha@example.net,Pessoa Física,2021-08-23 12:15:00,619.284.305-89,"Residencial de Vieira, 57 Conjunto Serra Verde 85249271 Rocha / MG",81473-142,Minas Gerais,44.9,41.0
55,Sophie Cunha,oliveiravitor@example.com,Pessoa Física,2016-11-10 14:25:00,521.934.708-04,Passarela de Costela Senhor Dos Passos 66807-828 da Rocha / RJ,19744436,Rio de Janeiro,103.13333333333334,
150,Pedro Lucas Cunha,jesusjulia@example.com,Pessoa Física,2021-11-04 11:27:00,385.417.629-55,"Distrito de Cardoso, 66 Vila Inestan 46530-625 Costela / ES",74907782,Espírito Santo,42.46666666666667,
211,João Miguel Cunha,davi-lucas04@example.net,Pessoa Física,2021-03-10 12:41:00,351.678.904-20,"PraÃ§a de Campos, 98 São Salvador 91131699 Nunes / MT",07845-704,Mato Grosso,50.43333333333333,
331,Vitória Cunha,lopesemanuel@example.com,Pessoa Física,2012-09-22 16:29:00,187.024.695-02,Distrito de GonÃ§alves Inconfidéncia 55785823 da Mota de Moura / SP,11168371,São Paulo,153.46666666666667,
452,Kevin Cunha,dmonteiro@example.com,Pessoa Física,2020-07-18 11:22:00,128.495.703-97,Travessa de Cardoso Nossa Senhora Da Conceição 41836-383 Dias Alegre / SC,43803139,Santa Catarina,58.266666666666666,
587,Mariana Cunha,maria-eduarda57@example.org,Pessoa Física,2019-09-06 15:59:00,903.251.768-68,Campo Stella Ferreira Novo Ouro Preto 12789-557 Pires / PI,50946020,Piauí,68.8,
649,Clarice Cunha,brenda34@example.net,Pessoa Física,2016-04-11 13:35:00,631.528.049-89,"Viela Thales Santos, 133 Vila Santa Monica 2ª Seção 08043-756 Almeida Paulista / MT",37183-556,Mato Grosso,110.23333333333333,67.0
663,João Pedro Cunha,carlos-eduardoda-luz@example.org,Pessoa Física,2020-07-21 14:21:00,068.235.197-03,Via Ferreira Vila Dos Anjos 28261187 Castro / RN,3481410,Rio Grande do Norte,58.166666666666664,
720,Lara Cunha,thomasbarbosa@example.com,Pessoa Física,2021-03-23 10:56:00,780.629.134-22,"Setor de Rodrigues, 46 Santa Margarida 46508-985 Campos de Goiás / ES",70396-535,Espírito Santo,50.0,
741,Gustavo Cunha,correiaemanuelly@example.org,Pessoa Física,2012-03-03 14:17:00,237.604.598-38,Favela Luiz Otávio Santos Tupi B 43588859 Rezende da Mata / SC,77732-400,Santa Catarina,160.23333333333332,
780,Thiago Cunha,carvalhonicolas@example.com,Pessoa Física,2018-02-05 11:35:00,352.748.691-73,"Avenida Gonçalves, 38 Ademar Maldonado 06852555 Ribeiro Alegre / PE",99956563,Pernambuco,88.06666666666666,43.0
866,Brenda Cunha,qcaldeira@example.net,Pessoa Física,2019-06-22 13:36:00,936.475.821-82,"Esplanada Levi Barbosa, 216 Vila São João Batista 50276-230 Silva / GO",43609-121,Goiás,71.33333333333333,
933,Leonardo Cunha,aragaolorena@example.net,Pessoa Física,2015-08-12 13:49:00,739.416.528-00,"Avenida Cunha, 13 Flavio Marques Lisboa 36827006 Caldeira de Martins / ES",25715953,Espírito Santo,118.33333333333333,
941,Otávio Cunha,carvalhonicole@example.org,Pessoa Física,2022-05-22 12:02:00,310.842.695-89,"Viela Farias, 926 Heliopolis 61000-447 Barros Grande / SE",20775-963,Sergipe,35.833333333333336,61.0
68,Lorena Gomes,nrezende@example.net,Pessoa Física,2019-08-11 11:02:00,832.607.514-08,"Rodovia Alexia Costela, 374 Vila Madre Gertrudes 4ª Seção 35410645 Melo / PA",13577256,Pará,69.66666666666667,69.0
79,Milena Gomes,bsilva@example.com,Pessoa Física,2022-12-03 10:51:00,893.726.041-78,"Alameda Benício Sales, 68 São Sebastião 87879-290 da Rocha da Mata / PA",31297275,Pará,29.333333333333332,44.0
157,Emanuella Gomes,antoniosilva@example.com,Pessoa Física,2017-08-20 12:13:00,659.284.301-24,Vale Santos Vila Mantiqueira 16535-555 Lopes / MT,45442696,Mato Grosso,93.7,
195,Luiz Fernando Gomes,vcastro@example.net,Pessoa Física,2011-03-08 13:26:00,046.853.129-70,"Largo de Sales, 95 Lindéia 03767449 Aragão / GO",13895327,Goiás,172.26666666666668,
369,João Lucas Gomes,lribeiro@example.net,Pessoa Física,2022-10-09 11:31:00,256.389.041-15,"Chácara Cunha, 551 Serra 26207-436 Silveira / CE",27315-383,Ceará,31.166666666666668,
499,Helena Gomes,fda-mota@example.org,Pessoa Física,2022-11-07 11:37:00,503.742.189-60,"Loteamento de Vieira, 36 Vila Nossa Senhora Do Rosário 99556-419 da Conceição do Oeste / SP",58899466,São Paulo,30.2,
567,Bryan Gomes,hrezende@example.com,Pessoa Física,2011-05-16 10:17:00,619.520.487-02,"Núcleo de Freitas, 378 Miramar 12606621 Correia / ES",34609558,Espírito Santo,169.96666666666667,27.0
609,Larissa Gomes,ana-laura55@example.org,Pessoa Física,2017-05-14 15:03:00,459.208.671-67,"Lago de Gonçalves, 6 Piratininga 53005555 Moreira Grande / SP",92215-516,São Paulo,96.96666666666667,
731,Felipe Gomes,gcostela@example.net,Pessoa Física,2017-07-21 11:57:00,971.548.302-04,"Esplanada Nascimento, 27 Beira Linha 18256-269 Souza do Oeste / MS",85811670,Mato Grosso do Sul,94.7,30.0
964,Bianca Gomes,da-rosamariana@example.com,Pessoa Física,2021-06-24 14:15:00,465.891.370-48,"Núcleo Lima, 184 Garças 64685-353 Gonçalves das Pedras / SP",71253-234,São Paulo,46.9,54.0
972,Daniel Gomes,joao-felipe48@example.net,Pessoa Física,2010-08-10 15:41:00,975.286.143-19,"Lago de Sales, 131 Itatiaia 06318-414 Silveira / AC",42328-349,Acre,179.26666666666668,
73,Milena Jesus,xvieira@example.com,Pessoa Física,2012-06-21 14:25:00,925.037.416-06,"Parque Araújo, 352 Estoril 11290-320 Pinto da Serra / MA",74802-721,Maranhão,156.56666666666666,36.0
114,Rodrigo Jesus,danielapinto@example.com,Pessoa Física,2022-11-11 11:04:00,658.910.274-02,"Esplanada de Lopes, 86 Santa Monica 48561977 da Cunha / RS",84406630,Rio Grande do Sul,30.066666666666666,
298,Nicolas Jesus,ryansantos@example.org,Pessoa Física,2012-04-21 15:53:00,509.487.213-32,"Rodovia Ferreira, 21 Pindura Saia 42451-455 Barros da Serra / CE",04065-364,Ceará,158.6,
327,Maria Alice Jesus,da-motaluiz-henrique@example.org,Pessoa Física,2021-10-08 11:35:00,543.680.712-71,Pátio Maria Clara Cavalcanti Beira Linha 75846700 Duarte / MS,32770-840,Mato Grosso do Sul,43.36666666666667,
328,Benjamin Jesus,davi-luccapinto@example.net,Pessoa Física,2017-03-04 13:03:00,659.172.048-02,"Estação da Cunha, 64 Vila Santo Antônio Barroquinha 42157-327 Teixeira de Farias / RS",10559-302,Rio Grande do Sul,99.33333333333333,53.0
523,Gabrielly Jesus,laurada-mata@example.net,Pessoa Física,2013-03-18 10:44:00,490.281.576-11,"Sítio de Moraes, 68 Nova Granada 53754-205 da Mata de Alves / RO",87182675,Rondônia,147.56666666666666,74.0
675,Camila Jesus,barbosamaite@example.com,Pessoa Física,2019-04-24 13:55:00,625.481.709-85,"Esplanada Fernando da Costa, 7 Vila Santo Antônio 24496828 Freitas / PA",96168071,Pará,73.3,
696,Luiza Jesus,costarenan@example.com,Pessoa Física,2021-12-24 13:02:00,471.685.903-75,"Favela Ribeiro, 78 Delta 25034-385 Oliveira / AP",23037-823,Amapá,40.8,
822,Bárbara Jesus,milenada-rocha@example.com,Pessoa Física,2022-12-16 15:58:00,602.148.935-70,Recanto Enzo Gabriel da Luz Vila São Francisco 39509-701 Melo / AM,76706-799,Amazonas,28.9,
982,Beatriz Jesus,fariasluiza@example.com,Pessoa Física,2019-11-25 11:04:00,350.467.981-66,"Vereda de Alves, 96 Palmeiras 95190-216 Freitas / PR",26839-985,Paraná,66.13333333333334,75.0
62,Ana Vitória Lopes,pdias@example.net,Pessoa Física,2010-12-02 12:14:00,431.286.957-09,"Campo João Felipe Nascimento, 2 São Bernardo 72648321 Pires Alegre / MG",56682892,Minas Gerais,175.46666666666667,
152,Davi Lopes,gcosta@example.com,Pessoa Física,2017-07-01 14:56:00,104.258.973-97,"Quadra Pereira, 23 Cardoso 27987-882 Castro / AC",23590-188,Acre,95.36666666666666,
291,Carlos Eduardo Lopes,otavio24@example.org,Pessoa Física,2012-02-26 12:34:00,852.193.064-05,"Alameda Isabel Silva, 31 Vila Havaí 11364-247 Nunes / DF",68301-753,Distrito Federal,160.43333333333334,33.0
350,Isis Lopes,diogoaraujo@example.com,Pessoa Física,2018-11-15 15:42:00,240.968.375-47,"Lagoa Benjamin Correia, 736 Suzana 65158388 da Costa das Flores / PR",7473442,Paraná,78.63333333333334,63.0
427,Gabriel Lopes,pazevedo@example.com,Pessoa Física,2019-02-18 14:37:00,263.140.789-03,Lago Maria Julia Rodrigues Taquaril 53270892 Lopes Verde / CE,44978329,Ceará,75.46666666666667,69.0
439,Isabella Lopes,igorcampos@example.org,Pessoa Física,2019-05-18 11:42:00,570.462.381-62,"Rodovia de Novaes, 89 Boa Esperança 76062-783 Costa / AM",30513678,Amazonas,72.5,
450,Thales Lopes,uda-mata@example.com,Pessoa Física,2019-04-01 12:40:00,503.681.924-15,"Esplanada Sales, 2 Califórnia 01064869 Melo / SE",88390892,Sergipe,74.06666666666666,
573,Cecília Lopes,joao19@example.com,Pessoa Física,2021-05-11 15:05:00,149.035.782-32,"Campo Lucas Costa, 309 Universitário 27503-697 Cardoso de da Rosa / AM",55776517,Amazonas,48.36666666666667,
604,Gabriela Lopes,aliciasilva@example.com,Pessoa Física,2022-03-20 16:32:00,761.045.329-34,"Vereda Oliveira, 56 Santa Rita De Cássia 72625-217 Pinto / SC",44743727,Santa Catarina,37.93333333333333,39.0
605,Sophia Lopes,gabrielcampos@example.net,Pessoa Física,2022-05-02 16:57:00,518.402.937-05,"Alameda Almeida, 8 Santa Isabel 62289-773 Freitas dos Dourados / RO",80918276,Rondônia,36.5,38.0
670,Marina Lopes,goncalvesclara@example.com,Pessoa Física,2022-10-25 14:11:00,926.153.874-64,"Aeroporto Fogaça, 6 Outro 84244907 das Neves / PR",21092961,Paraná,30.633333333333333,
825,Gustavo Henrique Lopes,beatriz24@example.net,Pessoa Física,2022-04-28 14:01:00,953.672.148-19,"Rua de Alves, 21 Gameleira 20078768 Viana Paulista / CE",84143888,Ceará,36.63333333333333,34.0
864,Benício Lopes,leandrodias@example.org,Pessoa Física,2017-04-28 15:30:00,845.971.236-28,"Feira de Monteiro, 67 Vila Mangueiras 92992-146 Santos da Praia / SP",29563-668,São Paulo,97.5,27.0
99,Heloísa Moura,manuela79@example.net,Pessoa Física,2017-10-14 12:58:00,032.516.987-02,"Vale de Pinto, 77 Alpes 83294-846 Ramos / RJ",64841594,Rio de Janeiro,91.86666666666666,
388,Heloísa Moura,novaesluiz-fernando@example.org,Pessoa Física,2017-02-14 12:43:00,340.875.619-84,"Praça Yuri Martins, 52 Itapoa 48374113 Azevedo / AM",06447-430,Amazonas,99.93333333333334,
431,João Moura,da-matabreno@example.org,Pessoa Física,2013-11-20 11:12:00,415.702.836-80,Viela Giovanna Cardoso Castanheira 31235258 Ferreira / TO,20931894,Tocantins,139.33333333333334,30.0
501,Evelyn Moura,heitorgoncalves@example.org,Pessoa Física,2018-06-20 14:51:00,501.986.743-84,"Campo Maria Eduarda Peixoto, 536 Europa 43797481 da Mata do Galho / SP",29074-901,São Paulo,83.56666666666666,20.0
556,Melissa Moura,da-luzlorena@example.org,Pessoa Física,2020-06-08 14:51:00,950.863.724-29,"Distrito Gabriel Cavalcanti, 48 Ouro Preto 68992416 Monteiro do Norte / BA",42839110,Bahia,59.6,
575,Bruno Moura,theo66@example.com,Pessoa Física,2015-07-27 11:15:00,619.478.203-03,"Travessa Ferreira, 96 Jatobá 98474439 Ferreira / TO",39617502,Tocantins,118.86666666666666,
653,Maria Clara Moura,ryan75@example.com,Pessoa Física,2016-06-16 14:20:00,792.361.480-69,Praia de Barbosa Bela Vitoria 48748186 Pereira do Oeste / SC,43287847,Santa Catarina,108.03333333333333,40.0
706,Juan Moura,maria-fernanda15@example.org,Pessoa Física,2019-01-10 15:36:00,754.391.820-04,"Jardim Caroline Teixeira, 46 Goiania 56851205 da Mata / MA",91580-802,Maranhão,76.76666666666667,
796,Benício Moura,emillyfogaca@example.org,Pessoa Física,2019-11-08 15:59:00,748.206.193-22,"Passarela Mendes, 34 Lajedo 43858130 Porto / RS",39582-953,Rio Grande do Sul,66.7,
946,Brenda Moura,levi65@example.org,Pessoa Física,2016-03-05 10:07:00,284.179.053-32,"Feira de da Cruz, 282 Esplanada 65178537 Alves do Norte / TO",48090-423,Tocantins,111.46666666666667,
990,Igor Moura,duartesabrina@example.net,Pessoa Física,2020-01-23 16:28:00,372.954.608-29,"Lago Novaes, 24 Boa União 1ª Seção 74015-731 Cardoso de Moura / MS",92666276,Mato Grosso do Sul,64.16666666666667,
57,Luna Nunes,gustavo12@example.org,Pessoa Física,2017-05-04 16:51:00,618.429.573-09,"Vale de Rezende, 953 Ápia 55803-917 Moura / PA",80881095,Pará,97.3,56.0
254,Ana Carolina Nunes,mcostela@example.net,Pessoa Física,2012-10-24 13:48:00,612.835.409-24,"Recanto de da Luz, 9 Santa Sofia 78694-248 Nogueira do Sul / MA",98430781,Maranhão,152.4,
303,Emilly Nunes,antoniocavalcanti@example.org,Pessoa Física,2017-04-11 13:13:00,310.924.875-14,"Trevo Gabriela Porto, 67 Colégio Batista 35807-329 Castro da Prata / AL",14585816,Alagoas,98.06666666666666,43.0
457,Camila Nunes,pietra44@example.com,Pessoa Física,2017-04-14 11:13:00,391.540.862-05,"Estação Azevedo, 75 Vila Da Luz 40014970 Cardoso / CE",47534-613,Ceará,97.96666666666667,
515,Ana Laura Nunes,martinsdiego@example.com,Pessoa Física,2014-04-17 15:32:00,457.206.891-76,"Residencial Kamilly Lima, 49 São José 32763-452 Costela / AL",81853963,Alagoas,134.4,24.0
616,Lucca Nunes,fernandateixeira@example.org,Pessoa Física,2017-08-04 10:47:00,218.695.730-21,"Lagoa de Pereira, 76 Xangri-Lá 73656217 Martins dos Dourados / AP",06759-880,Amapá,94.23333333333333,
638,Ana Carolina Nunes,maria-sophia30@example.org,Pessoa Física,2018-07-05 11:41:00,372.598.104-32,"Via Santos, 76 Mantiqueira 45911-781 Campos do Galho / RS",93769-315,Rio Grande do Sul,83.06666666666666,
717,Renan Nunes,gpeixoto@example.net,Pessoa Física,2015-02-21 12:48:00,349.281.567-73,Jardim de da Rocha Conjunto Capitão Eduardo 14991503 Castro / RR,06635-669,Roraima,124.06666666666666,
836,Emanuelly Nunes,vitor-gabriel68@example.com,Pessoa Física,2022-08-23 11:20:00,752.986.041-02,"Trecho de Barros, 13 Frei Leopoldo 70568448 da Costa / TO",30163-306,Tocantins,32.733333333333334,76.0
871,Lucca Nunes,alice24@example.org,Pessoa Física,2022-08-22 14:00:00,159.034.268-24,"Núcleo Guilherme Porto, 2 Varzea Da Palma 25918-822 Rodrigues / AP",05487-000,Amapá,32.766666666666666,
879,Anthony Nunes,barbarajesus@example.org,Pessoa Física,2013-07-12 10:44:00,291.463.850-70,Praça de Alves Santo André 10331-058 Costa / DF,15103-868,Distrito Federal,143.7,63.0
917,Theo Nunes,diogofernandes@example.net,Pessoa Física,2016-05-18 11:07:00,702.418.965-76,"Distrito de da Luz, 88 Cabana Do Pai Tomás 27391181 da Rosa / MS",15799-330,Mato Grosso do Sul,109.0,
